,gender,age_at_enrollment,city_of_residence,enroll_after_hs_or_college,avg_high_school_score,favorite_subjects,math_score,russian_score,first_choice_subject_score,second_choice_subject_score,english_proficiency,university_faculty,field_of_study,program_satisfaction,interest_in_extracurriculars,sportiness,importance_of_budget_admission,visited_open_day,self_organization_ability,tutoring_experience,advanced_subjects_in_school,additional_subjects_on_exams,olympiad_success,pre_university_interests,time_for_self_development,admission_method,id
0,1,18,екатеринбург,после 11 класса,5.0,"математика, астрономия, обществознание, информатика",82.0,98.0,93.0,0.0,могу общаться в повседневных ситуациях,ит (информационные технологии),02.03.02 фундаментальная информатика и информационные технологии,7,готов сходить на пару заинтересовавших мероприятий,регулярно занимаюсь любимым видом спорта / в тренажерном зале,обязательно,False,готов почитать несколько статей по теме предмета,True,"математика, физика",информатика,False,программирование,больше 10 часов в неделю,баллы егэ,f35081a2-4969-4213-8113-d30d6b4efc46
1,1,18,москва,после 11 класса,5.0,"математика, иностранный язык, физика, информатика",84.0,96.0,84.0,82.0,могу общаться в повседневных ситуациях,ит (информационные технологии),02.03.02 фундаментальная информатика и информационные технологии,8,только учеба,регулярно занимаюсь любимым видом спорта / в тренажерном зале,обязательно,False,готов почитать несколько статей по теме предмета,True,"математика, физика, информатика","физика, информатика",False,программирование,больше 10 часов в неделю,баллы егэ,558eb10d-8224-45c8-9527-49b91cc2b72c
2,1,17,мосвка,после 11 класса,4.0,"математика, иностранный язык, информатика",86.0,86.0,88.0,0.0,"могу коммуницировать с носителями, частично знаю деловую речь",ит (информационные технологии),02.03.02 фундаментальная информатика и информационные технологии,4,готов сходить на пару заинтересовавших мероприятий,регулярно занимаюсь любимым видом спорта / в тренажерном зале,обязательно,False,готов почитать несколько статей по теме предмета,True,"иностранный язык, обществознание",информатика,False,"программирование, компьютерное 3d-моделирование, инженерная деятельность",около 10 часов в неделю,баллы егэ,316437b0-ad8e-46b0-8e11-823c2149094a
3,0,17,орёл,после 11 класса,5.0,"математика, иностранный язык, информатика",80.0,96.0,75.0,0.0,могу общаться в повседневных ситуациях,ит (информационные технологии),02.03.02 фундаментальная информатика и информационные технологии,7,готов сходить на пару заинтересовавших мероприятий,люблю физические нагрузки в умеренном количестве,обязательно,False,готов почитать несколько статей по теме предмета,False,"математика, физика, информатика",информатика,False,программирование,больше 10 часов в неделю,баллы егэ,3162966d-2dca-4b1a-84e1-50bbaf125a6d
4,1,18,саранск,после 11 класса,4.5,"математика, литература, история, информатика",56.0,64.0,53.0,0.0,могу читать несложные диалоги,ит (информационные технологии),02.03.02 фундаментальная информатика и информационные технологии,8,готов сходить на пару заинтересовавших мероприятий,регулярно занимаюсь любимым видом спорта / в тренажерном зале,важно,False,готов почитать несколько статей по теме предмета,True,"математика, информатика",информатика,False,программирование,больше 10 часов в неделю,баллы егэ,3d73cf37-f1e9-4897-badc-1ad096b0de40
5,0,18,москва,после 11 класса,5.0,"математика, информатика",74.0,84.0,95.0,0.0,могу общаться в повседневных ситуациях,ит (информационные технологии),02.03.02 фундаментальная информатика и информационные технологии,4,только учеба,предпочитаю лишний раз не двигаться,обязательно,False,изучу всё связанное с темой предмета,False,математика,информатика,False,программирование,около 10 часов в неделю,баллы егэ,1473a532-ed37-4cca-a6f9-37e1742d958b
6,1,18,москва,после 11 класса,4.0,"математика, иностранный язык, физика, информатика",90.0,82.0,69.0,98.0,"свободно общаюсь, глубоко знаю грамматику",ит (информационные технологии),02.03.02 фундаментальная информатика и информационные технологии,8,только учеба,регулярно занимаюсь любимым видом спорта / в тренажерном зале,обязательно,False,готов почитать несколько статей по теме предмета,True,"математика, физика, информатика","физика, информатика",False,"программирование, компьютерное 3d-моделирование",около 10 часов в неделю,баллы егэ,8f3061c2-6cdd-4816-8c15-26102259af95
7,0,18,набережные челны,после 11 класса,4.5,"русский язык, математика, литература, история, химия, астрономия, обществознание",80.0,88.0,95.0,0.0,"свободно общаюсь, глубоко знаю грамматику",ит (информационные технологии),02.03.02 фундаментальная информатика и информационные технологии,3,только учеба,люблю физические нагрузки в умеренном количестве,обязательно,True,готов почитать несколько статей по теме предмета,True,"литература, иностранный язык, химия, биология, астрономия, обществознание","история, химия, физика, астрономия, информатика",False,программирование,около 10 часов в неделю,баллы егэ,216de200-3a7e-4cf0-9e8c-be64200b98f5
8,0,17,краснодар,после 11 класса,5.0,"химия, биология, информатика",72.0,98.0,81.0,0.0,могу общаться в повседневных ситуациях,ит (информационные технологии),02.03.02 фундаментальная информатика и информационные технологии,7,"все возможные мероприятия, на которые хватает времени",регулярно занимаюсь любимым видом спорта / в тренажерном зале,важно,False,максимум - выполнение дома заданий от преподавателя,True,unknown,информатика,False,программирование,минимальное количество времени,баллы егэ,1a6c2d7f-af54-4628-a54f-2e17bf6b5c9a
9,0,17,брянск,после 11 класса,4.5,"математика, информатика",82.0,90.0,96.0,0.0,"могу коммуницировать с носителями, частично знаю деловую речь",ит (информационные технологии),09.03.01 информатика и вычислительная техника,6,только учеба,регулярно занимаюсь любимым видом спорта / в тренажерном зале,обязательно,False,изучу всё связанное с темой предмета,True,"математика, физика, информатика",информатика,False,программирование,больше 10 часов в неделю,баллы егэ,89677fe5-17d4-4805-9341-cbfc478c245a
