faculty,text
IT,"Hello, I’m Alex, 16 years old, from Moscow. I’ve just finished school and enrolled in university directly after completing 11th grade. My average high school score was 4.5, and I focused on subjects like Math, Russian, Literature, Foreign Language, and Informatics. My EGE scores were 77 in Math, 80 in Russian, and 69 in Informatics. I’m pretty comfortable communicating in everyday situations, and I’m especially interested in IT and programming. Although I enjoy physical activities in moderation, I also like to spend a significant amount of time working on projects. I regularly dedicate over 10 hours a week to programming, 3D modeling, and robotics—hobbies I’ve been passionate about for quite some time. I believe in self-development and usually read articles on topics related to my studies to stay updated."
IT,"Hey there, I’m Mikhail, 18, from Moscow. I took my EGE after finishing high school and scored an overall 87 in Math, 76 in Russian, and 90 in my first-choice subject. I’m very passionate about Mathematics, Foreign Language, and History. I consider myself fluent in English and can engage deeply with the grammar, which has helped me tremendously with my studies. I’m into sports as well and train regularly in my favorite sport. I think it’s essential to maintain balance, so I make sure I’m both physically and mentally active. Besides my academic focus on IT, I also spend a lot of time programming and working on 3D modeling projects. These interests have kept me busy for more than 10 hours a week. For me, self-organizing and pushing my limits are key factors in achieving goals, whether it’s mastering programming or succeeding in my university studies."
IT,"Hello! My name is Andrei, I’m 18 years old, and I’m from Kirov. I decided to go to university straight after 11th grade, and I’ve been diving deep into Informatics and Math. My average high school score was 4.0, and my EGE results were 84 in Math, 94 in Russian, and 83 in Informatics. I’m someone who really enjoys getting into the details of programming and solving problems. I spend a lot of my time programming and doing 3D modeling, which has become a huge part of my life. I’m also dedicated to my physical fitness, and I regularly hit the gym. I believe balancing mental and physical challenges is the best way to stay sharp. I typically spend over 10 hours a week working on my coding projects, experimenting with new techniques, and learning as much as I can in my free time."
IT,"Hey, I’m Dmitry, 18, from Orenburg. After finishing 11th grade, I enrolled in university, and now I’m studying IT with a strong focus on programming. I scored 84 in Math, 71 in Russian, and 92 in my chosen subject, Informatics. I’ve always enjoyed logical thinking and problem-solving, and Informatics has been a perfect fit for me. Outside of school, I engage in moderate physical activities, which I find helpful for maintaining a healthy work-life balance. While academics are my priority, I also love reading up on new technologies and staying up to date with the latest programming tools and trends. Even though my spare time is limited, I always try to dedicate at least 10 hours a week to improve my coding skills. I’m eager to develop my abilities in both programming and software development."
IT,"Hi, I’m Ivan, 18, from Domodedovo. I just finished high school and enrolled in university after 11th grade. My EGE results were 65 in Math, 74 in Russian, and 69 in Informatics. While my scores aren’t the highest, I’ve always been motivated to improve and learn more. I’m interested in IT, particularly programming, and I find it fascinating how technology continues to evolve. In my free time, I enjoy moderate physical activities to stay fit, but I also try to balance that with my academic interests. I’m focused on learning more about programming, and I spend several hours a week working on personal projects. Even though I’m still early in my journey, I’m committed to pushing my limits and developing my skills further."
IT,"Hi! I’m Sergei, 17 years old, and I live in Essentuki. I graduated high school with a 5.0 average score, and now I’m enrolled in university after completing 11th grade. My EGE scores were 82 in Math, 94 in Russian, and 84 in Informatics. I’ve always had a strong interest in IT, and I’m passionate about programming and hands-on experiments with Chemistry and Physics. I enjoy taking on challenges in both academics and physical activities, as I regularly engage in fitness routines. I believe self-organization is key to mastering any skill, and I spend over 10 hours a week developing my programming knowledge and improving my lab work skills. I am always looking for new ways to challenge myself and grow both as a student and as an individual."
IT,"Hey, I’m Egor, 18, from Miass. I scored a 70 in Math, 72 in Russian, and 76 in Informatics for my EGE results. My average high school grade was 4.0, and I’ve always been into Informatics and programming. While I love physical exercise in moderation, I mostly focus on academic growth. I plan to spend a lot of my university years developing my programming skills, particularly in 3D modeling and software development. I usually spend around 10 hours a week on my side projects and learning new things. I also believe in the importance of self-study, so I try to read articles related to my studies in my free time to stay updated. Even though I’m just getting started, I’m motivated to push myself further."
IT,"Hi! My name is Valery, 18, and I live in Lobnya. I graduated with a 4.5 average and took the EGE exams in Math, Foreign Language, History, Geography, and Informatics. I scored 66 in Math, 67 in Russian, and 81 in Informatics. I am fluent in English and can handle business communication, which comes in handy for my studies and future work. Besides my academic interests, I love moderate physical activities and try to keep a balanced lifestyle. Programming is my main focus, and I usually dedicate at least 10 hours a week to it. I’m fascinated by the intersection of technology and creativity, and that’s why I’ve spent a lot of time experimenting with 3D modeling and software development projects."
IT,"Hello! I’m Kirill, 18, from Moscow. I’ve been interested in IT since a young age, and after completing 11th grade, I enrolled in university. I scored 60 in Math, 60 in Russian, and 50 in Informatics on my EGE exams. While my scores could be better, I’ve always been determined to improve, and I dedicate several hours a week to developing my programming skills and experimenting with 3D modeling and robotics. I also like to explore lab experiments related to Physics and Chemistry. I believe hands-on learning is essential, and I spend quite a bit of time in my spare time reading, coding, and working on small projects. I know I still have a long way to go, but I’m eager to learn and grow!"
IT,"Hi, I’m Alexey, 18, and I live in Moscow. I took my EGE exams after completing 11th grade and scored 70 in Math, 72 in Russian, and 76 in Informatics. I’ve always enjoyed programming and technological projects, which is why I chose Informatics and Math as my main subjects. In addition to my studies, I enjoy physical activities, although I like to keep them moderate. I typically dedicate about 10 hours a week to programming, working on small projects, and improving my 3D modeling and robotics skills. I’m passionate about self-development, and I believe that consistent effort will help me achieve my goals in the field of IT."
SISS,"Hi! I’m Denis, 18 years old, from Penza. After finishing 11th grade, I decided to enroll in university, and I scored a 5.0 average in high school. My EGE scores were 80 in Math, 72 in Russian, and 80 in my first choice subject, with a strong focus on Informatics and Physics. I can read simple dialogues in English and am interested in networks and communication systems. I’m not a fan of excessive physical activity, preferring a more relaxed approach, but I still understand the importance of balance. When it comes to academics, I strive to learn everything about the subject and spend a few hours each week programming and working with robotics. I’m always ready to learn more and push my limits with projects and experiments."
SISS,"Hello, I’m Alexey, 20 years old, and I live in Moscow. After transferring from another educational institution, I took my EGE exams, scoring 74 in Math, 72 in Russian, and 84 in my primary subject, Informatics. I’m able to communicate well in everyday situations in English. I enjoy being physically active, but I also take my studies seriously. I’ve been focusing a lot on networks and communication systems and plan to dive deeper into these areas. Even though my current academic experience is still settling in, I’m committed to understanding everything about my subjects, especially programming. I spend around 10 hours per week improving my skills in Informatics and working on small programming projects."
SISS,"Hey! I’m Andrei, 20, from Vidnoye. I completed 11th grade and chose to pursue university studies straight after. My high school average was 4.5, and my EGE scores were 73 in Math, 82 in Russian, and 72 in Informatics. I’m comfortable speaking in English for everyday communication and have a particular interest in networks and systems. While I don’t mind getting a little physically active, I prefer to focus more on my academic growth. In terms of my studies, I dedicate some time to read a few articles related to my subjects and work on programming projects. Although my programming hours are not huge, I’m slowly working towards deeper expertise in this area."
SISS,"Hello, I’m Maria, 18 years old, from Moscow. I completed 11th grade and scored 5.0 in high school. My EGE results were 74 in Math, 84 in Russian, and 54 in Informatics. I can handle reading simple dialogues in English, and I’m particularly interested in networks and communication systems. While I enjoy physical activities in moderation, my real passion lies in the academic side of things. I’m committed to learning everything about my subject, so I usually spend around 10 hours per week doing programming, 3D modeling, and even some robotics work. I find that hands-on experience is the best way to really learn and advance in my field."
SISS,"Hi, I’m Karina, 18, from Vladikavkaz. After graduating from high school with a 5.0 average, I decided to pursue higher education right away. My EGE scores were 70 in Math, 80 in Russian, and 75 in Informatics. I can read simple dialogues in English and am quite into networks and communication systems. I enjoy physical activity in moderation, and I try to maintain a balanced lifestyle. When it comes to my studies, I am ready to dive into every detail, so I dedicate a few hours each week to programming and 3D modeling. I believe this helps me get a deeper understanding of the subject and prepares me for future projects."
SISS,"Hello, I’m Viktoria, 18, from Moscow. I finished 11th grade and entered university with a 5.0 average. My EGE scores were 72 in Math, 78 in Russian, and 84 in Informatics. I’m able to read simple dialogues in English and have a solid interest in networks and communication systems. I’m also someone who enjoys working out at the gym regularly, keeping a balance between academic and physical activity. I find it very important to study beyond the classroom, so I usually read extra articles on my subjects. I’m dedicated to my academic growth and often spend over 10 hours per week working on programming, 3D modeling, and robotics. I’m enthusiastic about learning and developing new skills."
