Отметка времени,Ваш пол,Сколько вам было лет на момент поступления ,В каком городе вы проживали на момент поступления? Введите полное наименование города,Поступаете после 11 класса или после колледжа,Какой у вас был средний балл аттестата,Какие предметы вы любили и хотели изучать в школе,Какие предметы были углубленными,Какие предм,Какие дополнительные предметы (помимо математики и русского языка) вы сдавали на ЕГЭ ,Математика(Количество баллов),Русский(Количество баллов),Первый предмет на выбор(Количество баллов),Второй предмет на выбор (Если не сдавали пропустите вопрос),Насколько хорошо вы знаете английский,"Был ли у вас опыт работы в каких областях, приближенных к выбранному направлению? Если был напишите область, в противном случае оставьте вопрос пустым",Ваш факультет в ВУЗе,Ваше направление,"Насколько вы довольны программой (или были довольны, если перевелись) выбранного направления. Очень просим дать объективный ответ именно по поводу программы обучения, не опираясь на личный опыт, преподавательский или студенческий состав!","Насколько сильно вы хотели принимать участие в различных общественных, спортивных мероприятиях, и прочих внеучебных активностях",Насколько вы спортивный человек,Насколько вам было важно поступить на бюджет,Ходили ли вы на день открытых дверей в МТУСИ,Как вы оцениваете свои способности в самоорганизации учебного процесса,Занимались ли вы с репетиторами во время обучения в старших классах,"Углубленное изучение каких предметов у вас было в школе(Если не было, пропустите вопрос)",Какие дополнительные предметы (помимо математики и русского языка) вы сдавали на ЕГЭ,Были ли у вас успехи в олимпиадах по техническим предметам серьезного уровня (региональные и выше) в старших классах,Чем из перечисленного ниже вы интересовались до поступления в университет,Как много времени вы готовы уделять на саморазвитие в интересующей вас предметной области? (Помимо учебных часов) ,Как вы поступали?,Был ли у вас опыт работы при,Если сдавали больше предметов добавьте баллы через запятую,"Сколько получили за каждый предмет, введите в той же последовательности, что и выбрали",,,Вопрос без заголовка
19.03.2023 17:27:54,Мужской,18,Екатеринбург,После 11 класса,5,"Математика, Астрономия, Обществознание, Информатика",,,,82,98,93,,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,7,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Да,"Математика, Физика",Информатика,Нет,Программирование,Больше 10 часов в неделю,,,,,,,
19.03.2023 17:28:04,Мужской,18,Москва,После 11 класса,5,"Математика, Иностранный язык, Физика, Информатика",,,,84,96,84,82,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,8,Только учеба,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Да,"Математика, Физика, Информатика","Физика, Информатика",Нет,Программирование,Больше 10 часов в неделю,,,,,,,
19.03.2023 17:29:32,Мужской,17,Мосвка,После 11 класса,4,"Математика, Иностранный язык, Информатика",,,,86,86,88,,"Могу коммуницировать с носителями, частично знаю деловую речь",,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,4,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Да,"Иностранный язык, Обществознание",Информатика,Нет,"Программирование, Компьютерное 3D-моделирование, Инженерная деятельность",Около 10 часов в неделю,,,,,,,
19.03.2023 17:36:02,Женский,17,Мценск,После 11 класса,5,"Математика, Иностранный язык, Информатика",,,,80,96,75,,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,7,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Нет,"Математика, Физика, Информатика",Информатика,Нет,Программирование,Больше 10 часов в неделю,,,,,,,
19.03.2023 17:36:53,Мужской,18,Саранск,После 11 класса,4.5,"Математика, Литература, История, Информатика",,,,56,64,53,,Могу читать несложные диалоги,,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,8,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Важно,Нет,Готов почитать несколько статей по теме предмета,Да,"Математика, Информатика",Информатика,Нет,Программирование,Больше 10 часов в неделю,,,,,,,
19.03.2023 17:38:42,Женский,18,Домодедово,После 11 класса,5,"Математика, Информатика",,,,74,84,95,,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,4,Только учеба,Предпочитаю лишний раз не двигаться,Обязательно,Нет,Изучу всё связанное с темой предмета,Нет,Математика,Информатика,Нет,Программирование,Около 10 часов в неделю,,,,,,,
19.03.2023 17:40:40,Мужской,18,Москва,После 11 класса,4,"Математика, Иностранный язык, Физика, Информатика",,,,90,82,69,98,"Свободно общаюсь, глубоко знаю грамматику",,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,8,Только учеба,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Да,"Математика, Физика, Информатика","Физика, Информатика",Нет,"Программирование, Компьютерное 3D-моделирование",Около 10 часов в неделю,,,,,,,
19.03.2023 18:14:32,Женский,18,Набережные Челны ,После 11 класса,4.5,"Русский язык, Математика, Литература, История, Химия, Астрономия, Обществознание",,,,80,88,95,,"Свободно общаюсь, глубоко знаю грамматику",,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,3,Только учеба,Люблю физические нагрузки в умеренном количестве,Обязательно,Да,Готов почитать несколько статей по теме предмета,Да,"Литература, Иностранный язык, Химия, Биология, Астрономия, Обществознание","История, Химия, Физика, Астрономия, Информатика",Нет,Программирование,Около 10 часов в неделю,,,,,,,
19.03.2023 18:23:20,Женский,17,"Краснодарский Край, г. Сочи",После 11 класса,5,"Химия, Биология, Информатика",,,,72,98,81,,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,7,"Все возможные мероприятия, на которые хватает времени",Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Важно,Нет,Максимум - выполнение дома заданий от преподавателя,Да,,Информатика,Нет,Программирование,Минимальное количество времени,,,,,,,
19.03.2023 18:35:57,Женский,17,Брянск ,После 11 класса,4.5,"Математика, Информатика",,,,82,90,96,,"Могу коммуницировать с носителями, частично знаю деловую речь",,ИТ (Информационные технологии),09.03.01 Информатика и вычислительная техника,6,Только учеба,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Обязательно,Нет,Изучу всё связанное с темой предмета,Да,"Математика, Физика, Информатика",Информатика,Нет,Программирование,Больше 10 часов в неделю,,,,,,,
19.03.2023 18:36:50,Мужской,17,Сыктывкар,После 11 класса,4,"Математика, История, Физика, Информатика",,,,98,61,95,85,Обладаю базовым словарным запасом,,ИТ (Информационные технологии),09.03.01 Информатика и вычислительная техника,7,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Обязательно,Нет,Максимум - выполнение дома заданий от преподавателя,Нет,"Математика, Информатика","Физика, Информатика",Да,Программирование,Больше 10 часов в неделю,,,,,,,
19.03.2023 18:37:48,Мужской,18,Тула,После 11 класса,5,"Математика, Иностранный язык, География, Информатика",,,,78,90,83,50,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),09.03.01 Информатика и вычислительная техника,5,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Обязательно,Нет,Максимум - выполнение дома заданий от преподавателя,Да,"Математика, Физика, Информатика","Физика, Информатика",Нет,Программирование,Больше 10 часов в неделю,,,,,,,
19.03.2023 18:39:35,Мужской,18,Белгород,После 11 класса,5,"Русский язык, Математика, Иностранный язык, Информатика",,,,84,90,Информатика,,"Могу коммуницировать с носителями, частично знаю деловую речь",,ИТ (Информационные технологии),09.03.01 Информатика и вычислительная техника,7,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Да,"Математика, Информатика",Информатика,Нет,"Программирование, Компьютерное 3D-моделирование, Робототехника",Больше 10 часов в неделю,,,,,,,
19.03.2023 18:39:48,Женский,17,Дедовск ,После 11 класса,5,"Иностранный язык, Физика, Информатика",,,,74,98,95,93,"Могу коммуницировать с носителями, частично знаю деловую речь",,ИТ (Информационные технологии),09.03.01 Информатика и вычислительная техника,8,Только учеба,Люблю физические нагрузки в умеренном количестве,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Нет,,"Физика, Информатика",Нет,"Программирование, Эксперименты (лабораторные опыты) связанные с химией/физикой",Около 10 часов в неделю,,,,,,,
19.03.2023 18:40:00,Мужской,17,Москва,После 11 класса,4.5,"Русский язык, Математика, Литература, Химия, Информатика",,,,70,84,Информатика,,Обладаю базовым словарным запасом,,ИТ (Информационные технологии),09.03.01 Информатика и вычислительная техника,7,Только учеба,Люблю физические нагрузки в умеренном количестве,Не очень важно,Нет,Готов почитать несколько статей по теме предмета,Да,"Русский язык, Математика, Литература, Обществознание",Информатика,Нет,"Программирование, Эксперименты (лабораторные опыты) связанные с химией/физикой",Около 10 часов в неделю,,,,,,,
